split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00102_straight_ridge,straight,ridge,box,left,jinc4,algo6,0.003965732601375577,33.03331559001266,0.03807375651566266,4.7813435750348226e-11,0.4853700965650115,0.4853700965650115,0.10387044960215407,1.1702802534139785,0.0431700585676091,1.5876832462492443e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bilinear,plain,0.0037979964273608135,34.192264995355714,0.03987896248728854,0.0,0.00032341952946617135,0.00032341952946617135,0.08078438062485079,1.8443142857629249,0.04134414777425783,3.5922442163739884e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bilinear,algo6,0.003690416921119545,34.136246540896366,0.0387493776384937,0.0,-0.08882838498338702,0.08882838498338702,0.08671110110418259,1.7689569003836108,0.04017305970635442,3.370500746227446e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bicubic_catrom,plain,0.003136562935821598,35.150128086245644,0.03292875282354977,0.0,0.00043500465500753835,0.00043500465500753835,0.0739708168910984,1.4808520434283563,0.03414393752990734,3.822857425326393e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bicubic_catrom,algo6,0.0031047233356357147,35.06525647646694,0.032595198444325776,0.0,-0.06583716901029234,0.06583716901029234,0.0784876362412489,1.4493141980168665,0.033797331930448614,3.18423623130435e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bicubic_sharp,plain,0.003034467426307128,35.3193955600569,0.031853751408767665,0.0,0.000498868261157568,0.000498868261157568,0.07241823535086862,1.4270498107686456,0.03303255076475796,3.822857425326393e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bicubic_sharp,algo6,0.003015134216959305,35.23229179968572,0.031651848633368035,0.0,-0.06190132237255102,0.06190132237255102,0.07656591488907934,1.4030017085825703,0.03282208627622042,3.18423623130435e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bicubic_mitchell,plain,0.003837095913100534,34.24689433416728,0.04028550014978854,0.0,0.0005474291659724224,0.0005474291659724224,0.06819458174544989,1.814709282487757,0.04176976795618733,2.935883544740223e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,bicubic_mitchell,algo6,0.003714439757767652,34.184855173109284,0.039000423257101874,0.0,-0.09141471229524094,0.09141471229524094,0.07581056628582677,1.7328094894124757,0.04043456342159992,3.07779936563401e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,spline16,plain,0.003027587217725763,35.32935423034262,0.031781109548232746,0.0,0.000502463053048352,0.000502463053048352,0.07173461159334557,1.424048243078594,0.032957648614510185,3.450328395480202e-08
