study,scene,seed,family,condition,degradation,true_siting,observation,motion,base,bm,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10,,algo6_lanczos4,0,0.0035233334977475554,33.67649837864713,0.03228744162238616,0.0002853974833020142,0.41828332204421576,0.41828332204421576,0.025827719725344644,0.8721894349098718,0.035739029358540265,4.706726897330511e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10,,algo6_lanczos4,1,0.0034662903884976554,33.672607773533436,0.03212825017345451,0.00029102075634346834,0.4199014775843833,0.4199014775843833,0.0269720667614567,0.8708989582089584,0.03505708319356754,3.3892158951078144e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10_noise,,algo2_lanczos3,0,0.007440067977782631,33.137419546885916,0.037873250780259174,0.004248575907175629,0.42244855332471476,0.42244855332471476,0.09583703369870146,1.0777987864842533,0.04215270786413124,0.004205255886994391
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10_noise,,algo2_lanczos3,1,0.005785305748410592,33.28825756664918,0.037005126904096824,0.0024664334417875146,0.423997717656847,0.423997717656847,0.09522625654033037,1.073801499463749,0.040277132232274325,0.0031771922582438925
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10_noise,,algo6_jinc3,0,0.006910497778910806,33.40953676253835,0.03591034873023177,0.003851460801559456,0.4232208224135193,0.4232208224135193,0.026505471803252446,0.8236242502202797,0.040416320586310964,0.006021909310393745
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10_noise,,algo6_jinc3,1,0.005419088919933985,33.537581817483456,0.035232182235631626,0.002233687089756131,0.42413809473312486,0.42413809473312486,0.027642374828706507,0.8259000791711943,0.038733763221119134,0.005021536692289547
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10_noise,,algo6_lanczos4,0,0.007548750465824689,33.331504410895946,0.03661553220193864,0.004358760100980622,0.4220396215976897,0.4220396215976897,0.027230899582424178,0.8230855099987435,0.04277347114735416,0.006543288999680607
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10_noise,,algo6_lanczos4,1,0.005853080044382333,33.502794587304926,0.035936763583993614,0.002521752180265529,0.4229582614581981,0.4229582614581981,0.028119827417380977,0.8241523098542229,0.04080030470643015,0.0054563338192002405
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,clean,,algo2_lanczos3,0,0.002609979290503602,36.402514142946096,0.0263784125364899,0.0,-6.818632849560556e-05,6.818632849560556e-05,0.0449407384833506,1.0372473350370695,0.028411657250087177,2.8205769402640206e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,clean,,algo2_lanczos3,1,0.0025503150889339943,36.46118380010974,0.02594708179848177,4.4703074742019886e-06,0.00016333819187373084,0.00016333819187373084,0.04400621569960966,1.0147036869816275,0.02768901781001616,1.4853918127246044e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,clean,,algo6_jinc3,0,0.0020928761530125723,38.24056140905658,0.02084366116079244,0.0,-0.00014527668544358127,0.00014527668544358127,0.02126431247802498,0.7812918581531902,0.022782584219904884,2.2795228731064568e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,clean,,algo6_jinc3,1,0.0020423509780185356,38.26156224050914,0.02049439199189302,4.179041882577751e-06,0.0018574394937023915,0.0018574394937023915,0.025835605150765616,0.7769452037580673,0.02216445647978357,1.0746963742205718e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,clean,,algo6_lanczos4,0,0.002280016310790925,38.204305003443814,0.021324224580114657,0.0,-0.0001649717548639206,0.0001649717548639206,0.01997088334665516,0.7933502483962775,0.024819720137332166,2.4746571268354145e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,center,clean,,algo6_lanczos4,1,0.002234726248729339,38.23014195163396,0.0211464316585729,2.44419788941741e-06,0.0017467715346595827,0.0017467715346595827,0.023640287503400182,0.7910506410066116,0.02425587251560674,1.5978319598647638e-08
