scene,family,degradation,true_siting,reconstruction_kernel,x_phase,rescue_off_edge_mae,rescue_on_edge_mae,delta,max_output_delta
test_01018_sine_coedge,sine,bicubic,left,lanczos3,exact,0.027944747358560562,0.028497138991951942,0.0005523916333913803,0.043588876724243164
test_01018_sine_coedge,sine,bicubic,left,lanczos3,half,0.02648206800222397,0.02648206800222397,0.0,0.0
test_01018_sine_coedge,sine,lanczos,left,lanczos3,exact,0.029808782041072845,0.0303163044154644,0.0005075223743915558,0.044190362095832825
test_01018_sine_coedge,sine,lanczos,left,lanczos3,half,0.025307893753051758,0.025307893753051758,0.0,0.0
test_01024_sine_coedge,sine,box,left,lanczos3,exact,0.0320991575717926,0.02592311054468155,-0.0061760470271110535,0.22478356957435608
test_01024_sine_coedge,sine,box,left,lanczos3,half,0.024527058005332947,0.024527058005332947,0.0,0.0
test_01024_sine_coedge,sine,triangle,left,lanczos3,exact,0.02958677150309086,0.02791340835392475,-0.0016733631491661072,0.08566605299711227
test_01024_sine_coedge,sine,triangle,left,lanczos3,half,0.02808932401239872,0.02808932401239872,0.0,0.0
test_01024_sine_coedge,sine,bicubic,left,lanczos3,exact,0.0315626785159111,0.03029436245560646,-0.0012683160603046417,0.09759537875652313
test_01024_sine_coedge,sine,bicubic,left,lanczos3,half,0.02602682262659073,0.02602682262659073,0.0,0.0
test_01024_sine_coedge,sine,lanczos,left,lanczos3,exact,0.03391341492533684,0.032684601843357086,-0.0012288130819797516,0.1012689620256424
test_01024_sine_coedge,sine,lanczos,left,lanczos3,half,0.024495000019669533,0.024495000019669533,0.0,0.0
test_01025_chevron_coedge,chevron,box,left,lanczos3,exact,0.031154796481132507,0.02787109836935997,-0.0032836981117725372,0.12087889760732651
test_01025_chevron_coedge,chevron,box,left,lanczos3,half,0.028931017965078354,0.028931017965078354,0.0,0.0
test_01025_chevron_coedge,chevron,triangle,left,lanczos3,exact,0.027130285277962685,0.02700713463127613,-0.00012315064668655396,0.04409186542034149
test_01025_chevron_coedge,chevron,triangle,left,lanczos3,half,0.030984118580818176,0.030984118580818176,0.0,0.0
test_01025_chevron_coedge,chevron,bicubic,left,lanczos3,exact,0.02803277038037777,0.028267361223697662,0.00023459084331989288,0.04185287654399872
test_01025_chevron_coedge,chevron,bicubic,left,lanczos3,half,0.02915823459625244,0.02915823459625244,0.0,0.0
test_01025_chevron_coedge,chevron,lanczos,left,lanczos3,exact,0.029954638332128525,0.030243072658777237,0.00028843432664871216,0.0408412367105484
test_01025_chevron_coedge,chevron,lanczos,left,lanczos3,half,0.02765355445444584,0.02765355445444584,0.0,0.0
test_01026_straight_coedge,straight,box,left,lanczos3,exact,0.0327933132648468,0.02604789100587368,-0.006745422258973122,0.16840799152851105
test_01026_straight_coedge,straight,box,left,lanczos3,half,0.025719914585351944,0.025719914585351944,0.0,0.0
test_01026_straight_coedge,straight,triangle,left,lanczos3,exact,0.02954700216650963,0.02788458578288555,-0.0016624163836240768,0.06444071233272552
test_01026_straight_coedge,straight,triangle,left,lanczos3,half,0.029124954715371132,0.029124954715371132,0.0,0.0
test_01026_straight_coedge,straight,bicubic,left,lanczos3,exact,0.03191231191158295,0.030543144792318344,-0.0013691671192646027,0.0669708251953125
test_01026_straight_coedge,straight,bicubic,left,lanczos3,half,0.02766873501241207,0.02766873501241207,0.0,0.0
test_01026_straight_coedge,straight,lanczos,left,lanczos3,exact,0.03472806140780449,0.03331799805164337,-0.0014100633561611176,0.06699448823928833
test_01026_straight_coedge,straight,lanczos,left,lanczos3,half,0.026421725749969482,0.026421725749969482,0.0,0.0
