split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01000_sine_coedge,sine,coedge,bicubic,center,center,lgcr_algo6,0.0034696985156872718,36.433592029768995,0.034551144824079186,2.343551300111271e-09,0.01041964434216264,0.01041964434216264,0.09043334345686181,0.7753331737367644,0.0385946709928768,0.014776550011620634
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,lgcr_plain_jinc,0.004051533514588766,35.0290723411816,0.03930404391039268,3.514384540418784e-07,0.010619180590067839,0.010619180590067839,0.09599184181630788,1.0144468303751537,0.0450266227347865,0.014054753363043779
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,ablate_similarity,0.0033205776248070498,36.72502095428426,0.03208132502483013,3.505036667255419e-07,0.0012705991291627565,0.0012705991291627565,0.11385259793887531,0.8716826633749573,0.036893479947355534,0.01096514667872162
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,ablate_plus_rescue,0.0033169437087705368,36.81704760232805,0.03204516814557359,3.539954334320057e-07,-0.0014838557878799328,0.0014838557878799328,0.1118098144240672,0.8789582376839349,0.03685374147746535,0.01092135546440702
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,ablate_plus_anisotropy,0.003314663818321331,36.834744843732466,0.03202078044272466,3.565849813943108e-07,-0.001764691097734969,0.001764691097734969,0.11160126313735806,0.878757524174975,0.036828385799058845,0.010910787979983502
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,lgcr_algo2,0.0033473470545589794,36.74922151922337,0.03233877475923648,3.513760886908997e-07,-0.00034449639499947065,0.00034449639499947065,0.11048191284812622,0.8915309099289577,0.03719122324227577,0.010946016991510987
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,ablate_algo6_ungated,0.0035728410136580515,36.658167027825044,0.034330138019694936,3.5326645177389893e-07,-0.0019185855781037122,0.0019185855781037122,0.08764389732093585,0.6864859096472886,0.03970020894138586,0.016087883639903294
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,ablate_algo6_plus_q,0.0036077396922221867,36.554120721440185,0.03463480388104688,3.514384540418784e-07,-0.0013286698504373362,0.0013286698504373362,0.08806038034229974,0.7045514240970876,0.04008850980816143,0.016012320106494286
test,test_01000_sine_coedge,sine,coedge,lanczos,left,left,lgcr_algo6,0.00361071440357651,36.54437272796001,0.03466382404769233,3.514384540418784e-07,-0.0012028120088425776,0.0012028120088425776,0.08805428162040049,0.7053808064724343,0.04012160925638108,0.01601867485303609
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,lgcr_plain_jinc,0.004295058248568824,34.84962226368782,0.04121089814829507,4.095594964123198e-07,0.015044816211055098,0.015044816211055098,0.09944314558486621,1.0296729106936489,0.04773395530702103,0.01584984293384921
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,ablate_similarity,0.0031342984686010752,37.089052550823986,0.02960962141142296,4.066886114222663e-07,0.026620864303640735,0.026620864303640735,0.11548012996245985,0.7761673780249718,0.03481827439030721,0.010173659123081182
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,ablate_plus_rescue,0.003127980051076499,37.1260512496698,0.02954433550539328,4.272109695843288e-07,0.02724537138391016,0.02724537138391016,0.1151689282210782,0.7759859066770465,0.0347474670215022,0.010161798574873024
test,test_01000_sine_coedge,sine,coedge,lanczos,center,center,ablate_plus_anisotropy,0.003124342301738427,37.14209261219533,0.029506071572108168,4.3399424092578034e-07,0.027528362959985335,0.027528362959985335,0.1151358445990617,0.7744376477557731,0.03470683299625913,0.01015826558605546
