split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,zimg_lanczos3,0.004778286097243505,31.57222191484668,0.04876251781879979,0.0,-0.45699277750949274,0.45699277750949274,0.08531738976101522,1.6550377453180674,0.05311280187396776,0.006269949133552256
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,zimg_spline36,0.004747684103887234,31.531654050399517,0.04871727123418168,0.0,-0.4573188139907107,0.4573188139907107,0.0859432325849816,1.6881643710952394,0.05277264537289739,0.0055962638829701716
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,jbu,0.002941081104890106,34.879866893919804,0.030565295971189784,0.0,-0.24382168488603714,0.24382168488603714,0.10076443753636247,1.2084365486986806,0.03269145673229581,4.1776469775608605e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,guided_filter,0.004887754667817589,33.512010344391754,0.047724789396960704,0.0,-0.25676425228209443,0.25676425228209443,0.07018533831077674,1.972927606921166,0.05432958816665979,0.009079584674466224
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,wada_ejbf,0.0035945723805498823,33.254147857269125,0.035838070306410716,1.2136665948977074e-05,-0.35665727659218827,0.35665727659218827,0.06507073156328676,1.2385305604724093,0.03961730671913496,0.0
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,korhonen,0.0031204181414047822,32.52598663749124,0.03276439048475021,0.0,-0.398499571078462,0.398499571078462,0.09138734901148081,1.1330457583966718,0.03468488214795278,5.135578768593925e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,galosh_form,0.003012049998262693,32.70951461522223,0.031626524981758275,0.0,-0.36539565854236195,0.36539565854236195,0.09312570671525992,0.9734509365512709,0.033029449313679446,5.6322841417221794e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,lgcr_plain_jinc,0.004160349872271707,31.7297691244465,0.042581949443025395,0.0,-0.4563016931420388,0.4563016931420388,0.08715689108941206,1.6451637345712906,0.04624416736797208,4.0446008954729355e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,lgcr_algo2,0.003862237592727653,32.123837250761625,0.039892876804666834,0.0,-0.4202390341445072,0.4202390341445072,0.12321990001967097,1.4680289517081548,0.04293051590433433,3.991382462637765e-08
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,lgcr_algo4,0.0037099092392642212,32.52320031018251,0.03820233126011122,0.0,-0.39302948554260136,0.39302948554260136,0.13149446004628576,1.4112649312112113,0.04123730862158395,2.263096116838001e-05
test,test_01001_chevron_coedge,chevron,coedge,box,center,topleft,lgcr_algo6,0.003574484105901528,32.57565885837256,0.036503775775361735,0.0,-0.4052522364694839,0.4052522364694839,0.08032119405266783,1.3548455414375797,0.039732011644879266,4.2219956715901695e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,zimg_bilinear,0.0031567740576692216,32.409760833613916,0.03314612760552683,0.0,0.3842314048976849,0.3842314048976849,0.09723274232532031,1.0596002150296528,0.035088983918761925,4.674352350689116e-08
test,test_01001_chevron_coedge,chevron,coedge,box,topleft,left,zimg_bicubic,0.0034809656402014747,32.48898009564043,0.036520855258350776,9.431026964670136e-10,0.3824930281775119,0.3824930281775119,0.09522366552618211,0.963731622306125,0.03869250354667505,0.005958485644355062
