split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,guided_filter,0.011824797681715722,28.22864595073934,0.1108870249936228,2.2044834969121786e-07,-0.00018157832496358748,0.00018157832496358748,0.06193141242934817,6.380056511416518,0.13130322985705875,8.8697388058617e-11
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,wada_ejbf,0.003251920305752274,37.05886746804477,0.029120282368802736,6.186685572001374e-05,0.0008116194632355546,0.0008116194632355546,0.08975706280268865,1.0623209309708268,0.03485317470594531,0.0
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,korhonen,0.004153167517107247,33.67135261637108,0.04359766132689574,0.0,0.0004374599356961421,0.0004374599356961421,0.08674914634889555,2.047301240613837,0.04616432155792912,3.370500746227446e-08
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,galosh_form,0.005114648387870129,29.64833125162464,0.0536820181179272,0.0,-0.002587102317814275,0.002587102317814275,1.199592140573002,1.367152562724626,0.0568516201206616,4.1776469775608605e-08
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,lgcr_plain_jinc,0.003252007075902498,34.97001244431689,0.03338718667912742,1.1225763176168714e-10,0.00019491560349068257,0.00019491560349068257,0.05795167039244129,1.511518324563323,0.036140874737784975,2.217434701465425e-08
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,lgcr_algo2,0.003252007075902498,34.97001244431689,0.03338718667912742,1.1225763176168714e-10,0.00019491560349068257,0.00019491560349068257,0.05795167039244129,1.511518324563323,0.036140874737784975,2.217434701465425e-08
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,lgcr_algo4,0.003252007075902498,34.97001244431689,0.03338718667912742,1.1225763176168714e-10,0.00019491560349068257,0.00019491560349068257,0.05795167039244129,1.511518324563323,0.036140874737784975,2.217434701465425e-08
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,triangle,left,left,lgcr_algo6,0.003252007075902498,34.97001244431689,0.03338718667912742,1.1225763176168714e-10,0.00019491560349068257,0.00019491560349068257,0.05795167039244129,1.511518324563323,0.036140874737784975,2.217434701465425e-08
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,zimg_bilinear,0.0037014853661356422,34.690114729514264,0.03843075923439409,0.0,0.00039106970131283633,0.00039106970131283633,0.08887202300321968,1.5708685462962175,0.04114365761744834,0.004328520073267143
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,zimg_bicubic,0.0034969455134784833,35.76647543585853,0.03590811554420811,3.9304030083474656e-09,0.0004349207625824681,0.0004349207625824681,0.0774448956143293,1.1666648944502165,0.038867689114773556,0.009606895280913227
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,zimg_lanczos3,0.0035073427170655763,36.30231498901919,0.03481695755648876,2.184367206479822e-07,0.0002780692590392978,0.0002780692590392978,0.06258258982574426,0.9739763292798456,0.03895752311551145,0.011708292289681378
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,zimg_spline36,0.0034667423820470738,36.205939668063586,0.034732583922180184,1.6651132942310403e-07,0.0002976662363474687,0.0002976662363474687,0.06304613183499158,1.0217811285027025,0.038511901206913446,0.010785988997668028
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,jbu,0.006321713885908574,31.483213949420175,0.06578389971560855,1.2570775912276337e-08,-0.004255467411841944,0.004255467411841944,0.05487316678971641,3.2464135003060783,0.07026476559362241,0.0003432769782583429
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,guided_filter,0.011239169190534162,28.45808840155926,0.10746846956972433,1.4954469709967573e-06,-0.00019464984440813247,0.00019464984440813247,0.06148629130770202,6.055425469600101,0.12482050779674735,7.893583627568053e-05
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,wada_ejbf,0.0021418323448881412,38.73371012524865,0.020790839749560336,1.0607579107662396e-05,0.0009366637818154341,0.0009366637818154341,0.09189830959824297,0.7606286497094099,0.023510927689217385,0.0
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,korhonen,0.003701485323791549,34.6901147615598,0.03843075840727363,0.0,0.00039107241601363913,0.00039107241601363913,0.08887202733576532,1.57086856366652,0.041143657595274,0.004328518590357687
dev,dev_00101_chevron_isoluminant,chevron,isoluminant,bicubic,left,left,galosh_form,0.005626425744757524,29.416359275652013,0.05838661553900151,0.0,-0.002028132949345092,0.002028132949345092,1.1991788351330346,0.9147424211026185,0.06254015960508869,0.008925125690265781
